app_id,app_categories,primary_category,enablement_only,has_enablement_hits,has_non_enablement_hits,txt_files_scanned,files_with_hits,total_term_hits
com_unity_BowlingAlley-decoded,Biometric Signals & Metrics;Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_unity_nexlium_spatialPiano-decoded,Biometric Signals & Metrics;Eye-Tracking Enablement;Foveated Rendering;Gaze Geometry;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_valvesoftware_steamlinkvr-decoded,Eye-Tracking Enablement;Foveated Rendering,Foveated Rendering,0,1,1,,,
com_vrchat_oculus_quest-decoded,Biometric Signals & Metrics;Eye-Tracking Enablement;Foveated Rendering;Gaze Geometry;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_woodcock_HuntingOnline-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_woodcock_huntingVR-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_yccorp_handrelax-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
games_b4t_epicrollercoasters_oculus-decoded,Biometric Signals & Metrics;Eye-Tracking Enablement;Foveated Rendering;Gaze Geometry;Raw Data Collection,Foveated Rendering,0,1,1,,,
games_hypervr_zombiecleanupservicedemo-decoded,Biometric Signals & Metrics;Foveated Rendering;Gaze Geometry,Foveated Rendering,0,0,1,,,
io_doublejack_maestro_tmc-decoded,Biometric Signals & Metrics;Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
pl_szlufik_TheRagmans-decoded,Biometric Signals & Metrics;Foveated Rendering;Gaze Geometry,Foveated Rendering,0,0,1,,,
studio_NewFolderGames_TitansClinicFreeDemo-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
unity_SUPERHOT_Team_SUPERHOT_VR_Demo-decoded,Foveated Rendering,Foveated Rendering,0,0,1,,,
woosterGames_animalCompany-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
